text,label,all_labels
Vila i fred❣️✝️,neu,"neu,neu,N/A,neg"
Så hemsk men fin video🥺❤️,neg,"neg,pos,neg,neu"
@namn DÅ skulle det ju vara helt okey! Det är reklamen jag retar mig på 😂,neu,"neu,pos,neg,neu"
Vad var det du kasta på Jonna 😜,neu,"neg,neu,pos,neu"
Välkomnar mina små abs som vuxit till sig på mina armar 😊,neu,"neu,pos,neu,N/A"
Asså lita inte på honom snälla😂,neu,"neu,neg,pos,neu"
"John Hron är ett FKN HJÄLTE SOM DOG SOM EN MARTYR!!! 
❤JOHN HRON❤
Skulle aldrig klarat mig ifall jag förlora en familjemedlem genom  mord.",pos,"neg,N/A,pos,pos"
en självbiologi 🤌🏼,pos,"neu,N/A,pos,pos"
Time jonna😊,neu,"N/A,pos,neu,neu"
Haha #teamjonna har dubbelt så mkt😂,pos,"pos,pos,neu,N/A"
"@namn en sexig, lätt klädd tomte 😏😏",pos,"N/A,pos,neg,pos"
Min brorsa såg en bild på @namn och trodde seriöst att det var Peeta i Hunger games 😅,neu,"neu,neg,pos,neu"
@namn fullt medveten om detta men om man tittat på de 3 tidigare åren så kanske det är en fingervisning om vart denna säsong är på väg👍,neu,"pos,neu,neu"
Måste bli en tradition!💕,pos,"pos,pos"
"Ni sitter och skrattar åt anjo för att han varit med i ett vikt program och ekonomi program.  Men det är okej att ljuga om att man är sjuk, hota folk , ljuga osv. 
Skäms på er på riktigt att skratta åt sånt.  Tack vare att anjo var med i dessa program har satt honom där han är idag . Pengarna rullar in . Det luktar avundsjuka på långa vägar!! 🙈🙈🤣😳",neg,"neg,neg,neg,neg"
Färga Jonnas hår svart!!👌🏻😂,pos,"pos,neu,pos,N/A"
@namn  Men vem orkar det innan 6 på morgonen? 😳,neu,"neg,neu,N/A,neu"
@namn @namn hahaha så tråkigt roligt Corre! Skrattar som en mupp 😂,pos,"neg,pos,neu,pos"
@namn tänkte precis skriva till dig att jag saknade dig😳😳 men jag saknar dig med😔💗,neu,"pos,neu,N/A,neu"
"@namn skulle bli så sjukt glad om du följde mig, har stöttat dig jättelänge❤️2",pos,"pos,pos,pos,neu"
Men Jocke/Joakim.  Du gillar hålla på  på med Jonnas hår och hon gillar hålla på med dig när du sover.  Det är rättvist så  😊☺☺☺👽,pos,"N/A,pos,neu,pos"
varför har jag så lätt för att bli ledsen över småsaker 😊,neu,"neg,neu,N/A,neu"
"@namn Oj, ja.. Nä! Så fel det kan bli.. Hur kunde jag tänka någe sånt! Ujuj! 😨😨
😂😂💋",pos,"neu,neg,pos,pos"
"@namn dina high gives är hårda, fick jätteont i handen😅",neu,"neu,pos,neg,neu"
Vad konstigt att se det bara sådär! Hade en helt annan bild i huvudet. 🙌🏻,pos,"pos,neu,neg,pos"
@namn KÄMPA linkan. 👏 FatFC tkr synd om dig @namn,pos,"neg,pos,neu,pos"
Team Jonna det vart jätte snyggt😜,pos,"pos,pos,pos,pos"
Hade varit kul att se dig spela Bolibompa drakens spel😂,neu,"neu,neu,pos,neu"
Jag ska åka dit efter corona är över! Vissa säger att det är något ingen glömmer bort🥺,neu,"neu,N/A,neu,pos"
tänk att dehär var inte ens 100 år sedan 🥺😭,neu,"neu,neu,N/A,pos"
@namn  Ojdå.. Låter jobbigt. Hoppas du slipper det tunga beskedet. 😘,neu,"neu,N/A,neu,pos"
@namn hade missat att det var ni som drev Naturbolaget också. Fick allt förklaratav @namn 👌,neu,"neu,N/A,neu,pos"
Nämen jag ville gråta en skvätt när jag såg Doris från Abrakadabra 🥲 VEM kommer ihåg det programmet??,pos,"pos,N/A,pos,neu"
"@namn Precis min tanke, är ju deras förlust! 😎",neu,"neg,neu,pos,neu"
@namn nu börjar jag gråta 😢❤️,neg,"neg,neu,pos,neg"
Att min lilla valp sover på en buss med många människor på gör mig tårögd 😢,pos,"pos,neg,N/A,pos"
@namn Ah tack Brate! 😘 Känner mig som en påse bajs!,neu,"neu,N/A,neu,neg"
Barnen har blivit så stora 😢😮😅😅,pos,"neu,pos,pos,N/A"
Den där tungan det var en ko tunga🐄,neu,"neu,neu,N/A,neu"
Vila i frid John!❤,pos,"neu,N/A,pos,pos"
Äntligen en underbar video❤,pos,"pos,pos,pos,pos"
RT @namn: Senkurs #specialistgruppen mkt bra start och intressant. Nu praktiskt👍 @namn @namn http://t.co/JdhLYznVAE,pos,"neu,pos,pos,N/A"
RT @namn: @namn Tack och lov är det inte MP som avgör vad jag granskar och inte. 😃,neu,"N/A,neu,pos,neu"
"Ingen är perfekt, bilder ljuger om du tror det. FAN VAD BRA NI ÄR, ÄLSKAR ER ALLIHOP❤️❤️❤️❤️",pos,"pos,pos,pos,N/A"
Så himla gott med skavsår ska slita loss fötterna från kroppen snart😍,neg,"neu,neg,pos,neg"
@namn tipsa på! Helst schampo och balsam. 😻,pos,"neu,N/A,pos,pos"
@namn Eller asså inte det jag skrev i den där Tweeten! 😂,neu,"neg,N/A,neu,neu"
@namn En bekant till mig c och till dig berättade idag vad du råkat ut för. Hoppas du under omständigheterna mår ok! 💛💙,pos,"neu,neg,pos,pos"
Team båda men mest båda hahaha 😂,pos,"N/A,pos,pos,neu"
@namn Wow! Vad är det för te? Grattis! ☺,pos,"pos,N/A,neu,pos"
Team jockiboi🙉🙉,neu,"neg,neu,pos,neu"
Team Jonna 😂,pos,"neg,neu,pos,pos"
Skrev i förra videon om inte du kunde spela in när du blev thanos och nu så gör du denna videon👍👍🙂,pos,"pos,neg,pos,neu"
Klart jag hade valt något på plan 5... 😥 #dagensträning #såfunkardet,neg,"neg,neu,neg,pos"
Synd om de. Jag ger all min respekt❤️🙏. Judarna då...,pos,"neu,N/A,pos,pos"
Back in sthlm och prommis me liljeholmsklanen😄✌,pos,"neu,pos,pos,N/A"
@namn Ja det var det ju. Synd att de inte har en webbshop. 😉,neu,"neu,pos,neu,N/A"
Som jag höll andan när ni åkte pulka och flög in i stängslet kunde slutat illa där 😞  men kul med en ny video ❤,neu,"neu,neu,N/A,pos"
Vila i frid fina Fadime ❤️😭,pos,"neg,pos,neu,pos"
@namn @namn Jaha haha skulle ju varit smart atta kolla alla bilder och inte bara två av dem😂😂,neg,"neg,neg,neu,pos"
Team Jockiboi😉😉😉👈🏻👍🏻,pos,"pos,N/A,pos,neu"
Ännu en låga släckt! Fy faan!😁 http://t.co/pIf5etsxVA,neu,"neu,neg,neu,pos"
Team jonna😉,pos,"neu,pos,pos,pos"
RT @namn: Moderaterna öppnar sina hjärtan för SD. M❤️SD i Skåne. #svpol http://t.co/Q8zkC2vw5U,neg,"N/A,neg,neg,pos"
Jag luktar äppelcidervinäger 😁,neu,"neu,pos,neu,neg"
"@namn Hmmm, aja. Det är inte kört 👍",neu,"N/A,neu,pos,neu"
"Så otroligt häftigt. Verkligen jättefina bilder på er, ni är så glamorösa !!! 😘😘",pos,"pos,pos,pos"
Mästerlig söndagslunch med malinhaggberg🍤🌱🙏 #lunch #vapiano #mums @ Vapiano Kungsbron http://t.co/IBMNANIqFU,pos,"pos,pos,neu"
"regram redtzer
Distriktsmästerskap i orientering 👊🌸🏃 http://t.co/V1yZhPsIE2",neu,"neu,pos,neu"
"✨Ajjj, fan som faan✨Älskar er jättemycket 💗💗",pos,"N/A,pos,pos"
Team Jockiboi 👍🏻,pos,"pos,neu,pos"
RT @namn: Jag beklagar att vi förstörde Er helg Herr @namn (not)😂 Gällande #TheBoss så är det nog Erics… http://t.co/aPBzv8sQsF,neg,"neg,pos,neg"
Team jonna😀,pos,"neu,pos,pos"
#teamjonna😂,pos,"neu,pos,pos"
I got to talk with @namn one more time before closing time 💜bokmässan2014#Göteborg#writers#publishers#joy#xo http://t.co/Oa1knHlqFV,pos,"pos,pos,N/A"
12:55 du snipa han omg😨😱,neg,"neg,neg,neu"
@namn @namn Asså jag kan typ inte... Måste typ städa och skit... Sorry ❤️,neg,"neu,neg,neg"
Team jonna😂,pos,"N/A,neu,pos,pos"
"Fadime ❤️ Patrik,  RIP. Ni är fria att älska varandra i all evighet. Fadime, jag minns dig som en snäll, fin och en blyg tjej och jag kommer aldrig glömma dig. Du är alltid i mina tankar. Jag önskar att jag kunnat rädda dig på något sätt.",pos,"neu,pos,pos"
@namn jag menar hm.. Lammkött!😍,pos,"N/A,pos,pos"
Men alltså… Dessa barn som… Betalat för att se hans kontent? Eller rättare sagt… Hur kan föräldrarna betala såna pengar för något? Eller det kanske dom inte gör🤔,neu,"neg,neu,neu"
Vila i frid vår hjälte ❣️,pos,"neu,pos,pos"
Haha man kan fastna i timmar på tiktok😂,pos,"pos,neu,pos"
Snygga Angelica fick fräscha naglar i vitt på salongen idag💅 #manikyr #nailart #nagelförlängning… http://t.co/qDgIuBFChD,pos,"neu,pos,pos"
RT @namn: Finns inte ens ord för hur mycket jag längtar till 1:a advent. Då börjar äntligen julen 🎅🎄🎁❄️❄️⛄️⛄️,pos,"neu,pos,pos"
@namn det kommer det kommer ❤️ man har hela livet på sig!,pos,"neu,pos,pos"
"Jag bor i Kungälv och badar i Ingetorpsjön på sommaren. Kan inte sluta tänka på honom när jag är där 🥺 RIP John, vi tänker på dig❤️🕊",neg,"neu,neg,neg"
Vilken vacker ”skyddande omelett”😂,pos,"N/A,neu,pos,pos"
@namn @namn om ni vågade skulle ta me er😏,pos,"neg,pos,pos"
"@namn @namn hahahaha jalla rå joina, free yard från och med tisdag välkommen 😘",neu,"neu,neu,N/A"
"Haha Oscars sång vid 29.00 😂
Har även en fråga: barnen verkar tycka om det mesta som ni lagar, men finns det något som dom verkligen inte tycker är gott? 🤔😀",pos,"pos,pos,neu"
#teamjhonna ❤,pos,"N/A,neu,pos,pos"
Därför man inte har TikTok 😅,neg,"neg,neg,neu"
⚫️ Hängde på waldorfskola. http://t.co/s9NPhQsoto,neu,"neg,N/A,neu,neu"
Hej jag är först! 🥳,neu,"neu,pos,neu"
Haha Liza Marklund snacka om att göra bort sig...var hon inte som skrev en bok om en utländsk man som slog en svensk kvinna...va de inte hon det.🙃👌..oj😆. de finns riktiga muslimer och det finns dårar som använder islam för att skapa makt och ta över världen. Det borde stoppats redan vid uppkomsten av dessa psykopater.,neg,"neg,neg,N/A"
@namn tar du selfies på tåget??? 😳,neu,"neu,neu,pos"
Jhon är en riktig legend och är en riktigt bra människa och stod upp för det rätta. Vila i frid John hron ❤,pos,"pos,N/A,pos"
Asså såå bra vill se sånna här videos för varje århundrade ni måste göra detta till tradition ❤️❤️,pos,"pos,pos,pos"
"Världens längsta dag. Uppgång 6.20, jobb1 - gymmet - jobb2 och nu tåget hem 😴😴😴😴😴😴",neu,"neu,pos,neu"
"Hahaha , det finns alltid 2 sidor av ett mynt 😂😂😂😂. Bumbi din toka, isåfall är du på bägge av myntets sidor. Aset har ju fan hotat små tjejer som vill ha tillbaks sina pengar.",neg,"pos,neg,neg"
"Så fina smycken, klickade hem en berlock med min månadssten oktober ❤",pos,"pos,pos,neu"
Mår Jonas bra? Han ser jätte blek och sjuk ut ☹️,neu,"neu,neg,neu"
"Mitt mammahjärta blöder... stackars Johns föräldrar som behöver stå ut med detta! John är en stor förebild, en riktig hjälte!❤️",pos,"pos,pos,N/A"
Första passet på programmeringen sen i juli 😊 #manblirglad #SM2015 @ CrossFit Nordic http://t.co/zfTBVPFXu3,pos,"pos,neu,pos"
Du är ju dum på riktigt 🤣🤣🤣,neg,"pos,neg,neg"
@namn Jag med! @namn INTE (ALDRIG) TILL SALU! I synnerhet @namn @namn @namn mfl✌️#inteimittnamn #svpol,neu,"N/A,neu,neu"
@namn @namn @namn  Hahaha!! Såklart du gjorde 😉😁,pos,"N/A,pos,pos"
"Vilket kanonfoder för aktiva hundar 👍
https://t.co/TwnfenavDk http://t.co/wNq8MPUmsM",pos,"pos,neu,pos"
Kick off för livsstilsflrändring med Allévo för 1 år sedan! Igår sprang de tjejmilen 💪👊👏 Starkt!!… http://t.co/AMhFEOue1N,pos,"pos,pos,pos"
@namn @namn Bönan😏,pos,"neu,pos,pos"
Kör en match med matinbum👌🏻,neu,"neu,neu,pos"
Gamla stan 😎,neu,"pos,N/A,neu,neu"
Vi ska ha sommarprat i skolan o jag tycker att @namn ska prata om att öppna en frapinofabrik :)))) 😘,neu,"neu,neu,pos"
"@namn @namn @namn @namn Håller med er faktist, låt michaela ta åt äran😏",neu,"neu,neu,pos"
"@namn @namn @namn @namn #Hatmediaredaktionerna förnekar sig aldrig, det stinker ännu mer med censur i MPdiket 👻",neg,"neu,neg,neg"
@namn jag är inte läskig😔,neg,"neg,neu,neg"
Toalettstolen var pricken över i:et i början 😂😂,pos,"pos,neu,pos"
"Vänta va, , har hon aldrig raderat kommentarer? Det gör hon ju hela tiden, allt negativt försvinner från både live och video på tiktok 😳",neg,"neg,neu,neg"
"RT @namn: Ach, Stockholm... 😍😍😍 @ Nacka Strand, Stockholms Län, Sweden http://t.co/2nXnOl8eeP",pos,"neu,pos,pos"
Det är snyggt 👍💇‍♂️,pos,"pos,pos,pos"
"Sån jeeeekla tur att jag har min padda ❤️ Funderar på att bara använda den, snåla wi-fi o ringa FaceTime till alla! Haha ✌️",pos,"neu,pos,pos"
@namn  Jag tycker att vi säger det 😃,neu,"neu,pos,neu"
RT @namn: Synd bara att man har cirka 0 planer på vad jag vill göra efter studenten 👍,neg,"neu,neg,neg"
"RT @namn: #FoooersConspiracy Bilden är ledtråden till vart uppträdandet är, RUNRUNRUN🏃 http://t.co/SKjK7aG928",neu,"pos,neu,neu"
 Är det bara jag eller som tycker att det blev snyggt haha? 😂 #Teamjonna,pos,"neu,pos,pos"
@namn jag tror världen har någonting imot att du ska följa mig... :/❤️,neg,"neg,N/A,neg"
@namn  Hahaha.. Ska försöka 😁,neu,"pos,neu,neu"
Värmde pizza i brödrosten 😂😂,pos,"neu,pos,pos"
Photo: En vanlig tisdag med tjejerna! ✌️💃 (at Hos Jennie) http://t.co/b5IF170mJO,pos,"neu,pos,pos"
@namn vad läser du för linje?😃,neu,"neu,pos,neu"
Hittar inte när gigo svär kan någon säga tiden för hittar värkerligen inte😂😂,neu,"pos,neu,neu"
@namn hahah omg typ sant....... 😶 minus det kort-korta tho,neu,"neu,pos,neu"
"Alltså vad är grejen med att lärarna ger betyget E, när man har C i mer än 5 arbeten och kanske fått E i två? WHY?!? Blir så LACK👺😡👿",neg,"neg,neg,neg"
Snälla snälla kan du svara på min kommentar 😊,pos,"neu,pos,pos"
@namn sista två gångerna avrunda vi framåt 17. Så var skönt att få till heldagar 👌👌💪💪,neu,"neu,neu,pos"
Han ser ut som en tiger muffins 😂😂,neg,"pos,neg,neg"
@namn önskar att alla ni kunde va här😔❤️,pos,"neg,pos,pos"
RT @namn: @namn man pratar om det. Förklarar. Och sedan förklarar man igen. Låter honom se. ❤️,neu,"neg,neu,neu"
@namn men jag kan inte finska😭,neg,"pos,N/A,neg,neg"
Vaaaaa !!! Har hon inte stängt av sig från spelet ännu. Hon har sagt att hon har stängt av sig innan. Hehe det roliga att hon säger det hos er att hon ska göra det idag. Där ljuger hon igen 😂😂😂😂,pos,"pos,pos,neu"
"Emelie, du har gått ut med att outsiders var ett pr trick flera ggr. Tom gjort videos om att de var pr så ”nu ska jag gå ut med något ingen vet” 😂 du har redan sagt de 100ggr innan",pos,"pos,N/A,pos"
@namn tack fina du ❤️,pos,"pos,neu,pos"
så mycket frågor (reinsta madonna) #bajen 💚 http://t.co/M6n0Uz7ts2,neu,"neu,neu,pos"
Så intressant att se J&J olikheter när det gäller ordning 😂 Jocke vill bara få ordning & göra att det rullar på & funkar i röran & Jonna verkar hata hans ordning 😅 Hon tycker inte alls att det spelar så stor roll … Jag är enormt pedant & förstår Jocke verkligen !! 😅 Jocke har det men Jonna har det bara helt enkelt inte 🤷🏼‍♀️ & nu ska dem få detta att funka 😂✌🏼,pos,"neu,pos,pos"
@namn Kanon! Det är det jag har skrivit. 😊,pos,"pos,pos,neu"
Btw Jonna efter skinnet så kommer kraniet inte hjärnan 😂,pos,"neg,pos,neu,pos"
Kan du spela Adopt me det var ganska länge sedan du spelade Adopt me.Älskar dina videos❤,pos,"neu,pos,pos"
"@namn typ inte??? Men det är ju JAG. Hahaha men Isabel, haha dör 👼👼",pos,"pos,pos,N/A"
"@namn antar att den försökte sätta sig på fönsterkarmen men det gick fan inte bra alltså. Kan inte sluta garva, blev livrädd 😂",pos,"pos,N/A,pos"
Häftigt hår färg 😜😀😉👍👌,pos,"pos,pos,N/A"
@namn Skiter högaktningsfullt i din image 😂 Kan lyssna och inflika hmm på rätta ställena 👍❤️,neg,"neg,pos,neg"
@namn det är jätte bra! Lite dåligt med internet dock😘 messar dig imorn💕,pos,"neu,pos,pos"
@namn Vem vill inte ligga lixom... #hörvadmanvillhöra 😂😜,pos,"N/A,pos,pos"
Världens finaste du! ❤️,pos,"pos,pos,pos"
Han var en äkta hårdrockare! Kolla på hans tröjor osv🤘R.I.P,neu,"neg,pos,neu,neu"
"Skämmer bort mig hos Naprapaten Malin Flinck, bäst i stan 👍 #naprapat #massage @ Malin Flinck Naprapaten http://t.co/idVHIzyEzb",pos,"neu,pos,pos"
Du är bra ändå om du inte ser ett bättre vapen som du har😍🤩😍🤩,pos,"N/A,pos,pos"
RT @namn: Ryno 💔 Pucken,neg,"neg,N/A,neg"
@namn får helt enkelt lita på damen... Men blir de 3-0 vet du vem som får höra det först 😏,neu,"neg,neu,neu"
"Ljuvligt att Miljöpartiet, de gamla skogsmullarna, har en tolerant inställning till shrooms. 🐢🍃🌴🌲🌳🌳🌿🍃",neu,"neu,pos,neu"
RT @namn: Har städat i ca 3 timmar och matilda har varit med mig på facetime hela tiden💗,pos,"pos,pos,neu"
"@namn Visst fan! 😐 Skulle ju sluta med sånt.. Aja, låt gå för den här gången!
Ha de gött å hoppas de hjälper! 😘",neg,"neg,pos,neg"
Först❤️,pos,"neu,pos,pos"
@namn redan gjort ett antal gånger😌,neu,"neu,neu,pos"
Bästa #matlådan av bästa flickvännen ❤️ #lchf #broccoligratäng @ Ericsson Hus 81 http://t.co/YauuaOuq72,pos,"neu,pos,pos"
"Nackdelen med div 4😁.. Is mitt i natten 🙈
#älta #missarPH #sylt http://t.co/69GhT9Ew5q",neu,"N/A,neg,neu,neu"
RT @namn: Lyssnade alltså nyss på intervjun då Saga Scott avslöjar typ hela Paradise 😊🔫,neu,"N/A,neu,neu"
"Team Jonna🌸

Det var skitsnyggt Jocke🌸",pos,"N/A,pos,pos"
RT @namn: @namn bästa fotbollsminnet i mitt liv 😄,pos,"pos,neu,pos"
"Ja, det är nässpray. Var beroende av nässpray i flera år och brukade öppna alla som var slut för att hälla över de sista dropparna till en annan flaska. Sparade rätt mycket på det 😂 Ett par dagar innan hade jag gjort en video med de där burkarna med nässpray och därför stod de kvar. Jag slutade med nässpray för bara två månader sedan och har väl inte släppt på den tryggheten de burkarna ger 😂😂",neu,"N/A,pos,neu,neu"
"Förvånad över att pappan kan hålla sig så lugn efter all sorg och hemskheter. Måste va oerhört svårt att prata om det. Tycker så synd om familjen💔det brister i hjärtat att höra hans sorgsna röst. Man förstår verkligen inte hur människor kan döda en människa utan ånger, har aldrig hört om något värre. Och hans kompis som såg allting? Undra hur de va för honom under all den där tiden. Jag skulle aldrig kunna tänka mig Johns pappas smärta när polisen säger att han ligger död i vattnet. Det här är en sann skräckhistoria, jag hoppas att Johns familj och hans grav kan vara ifred nu. Rip John.",neg,"N/A,neg,neg"
"@namn, haha .. Nejdå, det har jag också hunnit med! 👌",pos,"pos,neu,pos"
Snälla pranka fans och gå hem till dom👍👍☺️☺️,neu,"neu,N/A,neu"
@namn @namn Exakt.  Pressen är stor liksom 😃,neu,"N/A,neu,neu"
Vila i frid fina du ❤,pos,"pos,neg,pos"
ALLA SOM HAR BILDER / VIDEOS MED MIG SKICKA PÅ SMS ( 0721975212 ) ELLE KIK ( gabelala ) SKA GÖRA EN SAK SÅ SNÄLLA SKICKA SNABBT❤️,neu,"neu,pos,neu"
@namn @namn glöm inte att ge cred bara💃,neu,"neu,neu,pos"
Det var snyggt men ändå lite taskigt! Men jonna måste göra ett prank på dig när du är vaken. Jag vet inte vad du heter nämligen. Då menar jag inte jonna utan den andra killen som är så cool.😆😆😆,neu,"neu,neu,pos"
@namn @namn @namn HAHaHA nu dör jag önnu mer 😂😂,pos,"pos,N/A,pos"
4:03 en som hjälper till att leverera ❄️🍃,pos,"pos,pos,pos"
❤️,pos,"pos,pos,N/A"
@namn @namn aa😔 där e en bild iaf😘 http://t.co/hzNJDhEhad,neu,"neu,pos,neu"
Hans hemsida har blivit pajjad😂,pos,"pos,N/A,pos"
"“@namn: Så mycket dark shit som man ba ""tror du så om oss woooooooow""” 👏👏",neg,"neg,pos,neg"
Hjorten kissar sig själv i ansiktet. Tar Golden shower till ny nivå. 😫 #svtnatur #svt2 #världensnatur #thailand,neg,"N/A,pos,neg,neg"
Det där samtalet man fruktade kom idag.. Tur att vi är hemma dan innan då 🇺🇸🇺🇸👍,neu,"neg,pos,neu,neu"
"När kommer en video på när nya hamstern flyttade in? Vi fick se burbygget, men ni hann inte få med när ni hämtade och installerade hamstern 😊",neu,"neu,neu,pos"
RT @namn: Har skötsamma och extremt lugna kompisar som jag skulle vilja se supa sig dyngraka 😂,neu,"pos,neu,neu"
#TEAMJOCKIBOI 🙏🏽😍😍😍😍🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽,pos,"N/A,pos,pos"
lyckades smyga in #modelltåg i dagens #podcast 🙊😄✌️ http://t.co/7BJHBKXSLe,neu,"neu,neu,pos"
RT @namn: Finns inte ens ord för hur mycket jag längtar till 1:a advent. Då börjar äntligen julen 🎅🎄🎁❄️❄️⛄️⛄️,pos,"neu,pos,pos"
Jag såg dig på brommablox i lördags ❤,pos,"pos,pos,neu"
Kan någon istället ta reda på när lokal släpper lighters!? För de här introt har snart gjort låten irrelevant😂,neu,"neg,pos,neu,neu"
20 sekunder🎉🎉🎉,neu,"pos,neu,neu"
"Har själv varit där och det var så overkligt, det är sjukt hur folk kunde göra såhär mot oss romer och alla judar😒 låt oss aldrig glömma vår historia (till alla romer💙❤️💚 och judar)",neg,"neg,neu,neg"
Team JONNA!!!!!!!!❤️❤️❤️❤️,pos,"pos,pos,pos"
Hej du är bäst men jag undrar var den föra veckans videon var. Jag har inte instagram så jag vett inte men du är så sakt bäst❤❤❤,pos,"N/A,pos,pos"
Helt slut💪😅💪 #bodycombat #nordicwellness #strongmama #lofsianer #allakanträna http://t.co/YHSxncWma9,pos,"pos,pos,neu"
"Jesper efter middagen: ""Nehe, ett lavemang på det här då"" 😂",neu,"N/A,neu,neu"
"Vila i frid, Fadime ❤️🕯 så jävla modig och stark människa.",pos,"neg,neu,pos,pos"
